Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type
80,23912,3,26,20,0,8.666666667,10.26320288,5840,0,1933.5,2201.078258,486241.2178,376.3800602,2989.0,5848.947646,16986,33,19001,9500.5,10632.76467,17019,1982,23879,4775.8,8256.726088,19191,60,72,132,125.4600201,250.9200401,0,5840,1162.7,1918.795458,3681776.011,0,1,0,1291.888889,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
80,80783228,9,62,20,0,6.888888889,5.30199124,8675,0,2321.4,3769.536019,144.4483006,0.1733033,6214094.462,21200000.0,76600000,19,80200000,10000000.0,26900000.0,76600000,115,548993,137248.25,273680.7732,547769,96,192,112,0.111409264,0.061894036,0,8675,778.3333333,2309.850696,5335410.238,0,0,1,833.9285714,62,256,229,7,20,3647693.0,3647693,3647693,76600000.0,76600000,76600000,DDoS
80,7617540,4,24,6,6,6.0,0.0,0,0,0.0,0.0,3.15062343,0.525103905,2539180.0,4397480.413,7616953,273,7617540,2539180.0,4397480.413,7616953,273,0,0.0,0.0,0,0,80,0,0.525103905,0.0,6,6,6.0,0.0,0.0,0,0,1,7.5,24,256,-1,3,20,587.0,587,587,7616953.0,7616953,7616953,DDoS
80,79130,3,26,20,0,8.666666667,10.26320288,5840,0,1933.5,2189.772933,146935.4227,113.7368887,9891.25,19036.95901,50856,46,27282,13641.0,19137.13793,27173,109,79025,15805.0,22850.9551,50856,46,72,132,37.91229622,75.82459244,0,5840,1162.7,1911.59573,3654198.233,0,1,0,1291.888889,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
80,81810201,8,56,20,0,7.0,5.656854249,5840,0,2321.4,3173.373883,142.5616837,0.158904389,6817516.75,20400000.0,70900000,2,81000000,11600000.0,26400000.0,70900000,49,827982,206995.5,413229.8877,826840,2,172,112,0.097787316,0.061117073,0,5840,833.5,2103.115592,4423095.192,0,0,1,897.6153846,56,256,229,6,20,1316.0,1316,1316,40500000.0,70900000,10100000,DDoS
80,1248991,5,30,6,6,6.0,0.0,0,0,0.0,0.0,24.01938845,4.003231408,312247.75,621828.7392,1244989,3,1248991,312247.75,621828.7392,1244989,3,0,0.0,0.0,0,0,100,0,4.003231408,0.0,6,6,6.0,0.0,0.0,0,0,1,7.2,30,256,-1,4,20,0.0,0,0,0.0,0,0,DDoS
80,5694853,5,30,6,6,6.0,0.0,0,0,0.0,0.0,5.267914729,0.877985788,1423713.25,2846761.871,5693856,3,5694853,1423713.25,2846761.871,5693856,3,0,0.0,0.0,0,0,100,0,0.877985788,0.0,6,6,6.0,0.0,0.0,0,0,1,7.2,30,256,-1,4,20,997.0,997,997,5693856.0,5693856,5693856,DDoS
80,81171015,8,56,20,0,7.0,5.656854249,4380,0,2320.2,2207.341206,143.6103762,0.160155691,6764251.25,19900000.0,69200000,0,80400000,11500000.0,25800000.0,69200000,0,734349,183587.25,361653.1352,726039,159,172,112,0.098557348,0.061598343,0,4380,833.0714286,1679.986285,2822353.918,0,0,1,897.1538462,56,256,229,6,20,2.0,2,2,40200000.0,69200000,11200000,DDoS
80,104396,3,26,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,111431.4725,67.05237749,17399.33333,42268.61313,103679,3,709,354.5,432.0422433,660,49,104214,34738.0,59705.23442,103679,5,72,92,28.73673321,38.31564428,0,11595,1454.125,4097.537534,16800000.0,0,1,0,1661.857143,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
80,6254002,8,56,20,0,7.0,5.656854249,5840,0,1657.285714,1964.895647,1863.926491,2.398464215,446714.4286,1630117.739,6109785,3,6167305,881043.5714,2305694.092,6109785,3,111077,18512.83333,34552.51561,86200,48,172,152,1.279180915,1.119283301,0,5840,728.9375,1503.11044,2259340.996,0,0,1,777.5333333,56,256,229,6,20,33066.0,33066,33066,6109785.0,6109785,6109785,DDoS
