Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type
80,83020197,7,369,363,0,52.71428571,136.8414098,4344,0,1932.5,1754.831473,144.1095111,0.156588402,6918349.75,23900000.0,82900000,1,82900000,13800000.0,33800000.0,82900000,1,144526,28905.2,58484.26341,133180,49,220,200,0.084316832,0.07227157,0,4344,854.5714286,1460.03734,2131709.033,0,0,1,920.3076923,369,251,235,2,20,969.0,969,969,82900000.0,82900000,82900000,DoS
80,3002943,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.999019961,1501471.5,710631.7085,2003964,998979,3002943,1501471.5,710631.7085,2003964,998979,0,0.0,0.0,0,0,120,0,0.999019961,0.0,0,0,0.0,0.0,0.0,0,1,0,0.0,0,29200,-1,0,40,0.0,0,0,0.0,0,0,DoS
80,98796747,11,377,377,0,34.27272727,113.6697769,5792,0,1932.5,2362.781391,121.1780789,0.172070443,6174796.688,24700000.0,98600000,1,98700000,9866020.4,31200000.0,98600000,1,148527,29705.4,59792.83465,136263,2,360,200,0.111339698,0.060730745,0,5792,665.1111111,1581.146936,2500025.634,0,0,1,704.2352941,377,251,235,1,32,1996.0,1996,1996,98600000.0,98600000,98600000,DoS
80,85456400,8,327,321,0,40.875,113.2070638,7240,0,1656.428571,2565.850857,139.5097383,0.175528106,6104028.571,22800000.0,85300000,1,85300000,12200000.0,32200000.0,85300000,1,148750,24791.66667,54772.58608,136173,74,252,232,0.09361499,0.081913116,0,7240,745.125,1824.418259,3328501.983,0,0,1,794.8,327,274,235,2,20,2029.0,2029,2029,85300000.0,85300000,85300000,DoS
80,98358747,6,351,351,0,58.5,143.29515,4344,0,1932.5,1754.831473,121.4533569,0.122002368,8941704.273,29600000.0,98300000,1,98300000,19700000.0,44000000.0,98300000,1,76349,15269.8,28291.92206,65187,49,200,200,0.061001184,0.061001184,0,4344,918.9230769,1498.617444,2245854.244,0,0,1,995.5,351,251,235,1,32,5.0,5,5,98300000.0,98300000,98300000,DoS
80,85154,3,367,367,0,122.3333333,211.8875488,7240,0,1932.5,2845.835677,140474.9043,105.690866,10644.25,25716.01619,73586,2,10994,5497.0,7771.103525,10992,2,85144,17028.8,31965.64727,73586,149,104,200,35.23028865,70.46057731,0,7240,1196.2,2326.823911,5414109.511,0,1,0,1329.111111,367,29200,235,1,32,0.0,0,0,0.0,0,0,DoS
80,81380503,8,318,306,0,39.75,107.6153866,5792,0,1656.428571,1947.638216,146.386414,0.184319333,5812893.071,21700000.0,81200000,1,81200000,11600000.0,30700000.0,81200000,1,150707,25117.83333,56071.32937,139229,46,240,232,0.098303644,0.086015689,0,5792,744.5625,1487.498839,2212652.796,0,0,1,794.2,318,251,235,3,20,5524.0,5524,5524,81200000.0,81200000,81200000,DoS
80,83412104,6,351,351,0,58.5,143.29515,7240,0,2319.0,3331.638186,143.2166248,0.131875345,8341210.4,26300000.0,83300000,2,83300000,16700000.0,37200000.0,83300000,2,144383,36095.75,64887.12455,133121,85,200,168,0.071932006,0.059943339,0,7240,995.5,2326.116838,5410819.545,0,0,1,1086.0,351,274,235,1,32,5.0,5,5,83300000.0,83300000,83300000,DoS
80,99193784,7,433,409,0,61.85714286,153.1017402,4344,0,1656.428571,1760.597234,121.2575982,0.141137876,7630291.077,27500000.0,99000000,16,99000000,16500000.0,40400000.0,99000000,976,99200000,16500000.0,40400000.0,99000000,31,184,232,0.070568938,0.070568938,0,4344,802.2666667,1422.208768,2022677.781,1,0,0,859.5714286,433,0,235,4,20,13989.0,13989,13989,99000000.0,99000000,99000000,DoS
80,86498504,6,357,345,0,59.5,139.8967476,5792,0,1656.428571,2429.118623,138.1758001,0.150291617,7208208.667,24700000.0,85500000,22,86500000,17300000.0,38100000.0,85500000,341,86500000,14400000.0,35300000.0,86500000,47,184,232,0.069365362,0.080926255,0,5792,854.1428571,1850.473655,3424252.747,1,0,0,919.8461538,357,0,235,2,20,11021.0,11021,11021,85500000.0,85500000,85500000,DoS
80,147558,3,288,288,0,96.0,166.2768775,5792,0,1932.5,2179.547086,80531.04542,60.99296548,18444.75,47336.45324,135146,6,11996,5998.0,8473.967666,11990,6,147499,29499.8,59281.74637,135146,49,104,200,20.33098849,40.66197699,0,5792,1188.3,1889.204421,3569093.344,0,1,0,1320.333333,288,29200,235,1,32,0.0,0,0,0.0,0,0,DoS
80,7077441,16,3489,508,0,218.0625,229.9676698,1049,0,486.8181818,446.1470202,1249.6042,3.814938196,272209.2692,1003944.293,4963112,4,2114329,140955.2667,395860.3369,1524918,4,7077315,707731.5,1586658.748,5001682,841,520,360,2.260704116,1.55423408,0,1049,315.8571429,352.6639061,124371.8307,0,1,0,327.5555556,3489,29200,294,8,32,0.0,0,0,0.0,0,0,DoS
80,85463201,9,326,320,0,36.22222222,106.4351655,8688,0,2319.0,3774.237539,139.4869354,0.163813195,6574092.385,23700000.0,85300000,1,85300000,10700000.0,30200000.0,85300000,1,146595,36648.75,64718.55958,133298,80,284,168,0.105308482,0.058504712,0,8688,794.7333333,2306.771103,5321192.924,0,0,1,851.5,326,251,235,2,20,981.0,981,981,85300000.0,85300000,85300000,DoS
80,82106977,5,369,363,0,73.8,161.6885896,5792,0,1932.5,2362.781391,145.7123431,0.133971562,8210697.7,25600000.0,81100000,27,82100000,20500000.0,40400000.0,81100000,1026,18828,3765.6,7998.592332,18073,58,164,200,0.060896165,0.073075398,0,5792,997.5,1871.139249,3501162.091,1,0,0,1088.181818,369,0,235,1,20,0.0,0,0,81100000.0,81100000,81100000,DoS
80,98282877,4,376,370,0,94.0,184.0217378,4344,0,1656.428571,1757.579003,121.8014812,0.111921836,9828287.7,31000000.0,98100000,4,98100000,32700000.0,56700000.0,98100000,4,145622,24270.33333,53553.86892,133155,33,124,232,0.040698849,0.071222986,0,4344,998.0833333,1535.155335,2356701.902,1,0,0,1088.818182,376,0,235,1,20,0.0,0,0,98100000.0,98100000,98100000,DoS
80,85689087,9,355,355,0,39.44444444,118.3333333,10136,0,2319.0,4414.366206,139.4576651,0.163381365,6591468.231,23700000.0,85500000,1,85600000,10700000.0,30200000.0,85500000,1,145459,36364.75,65964.26529,135059,84,296,168,0.105030878,0.058350488,0,10136,796.6666667,2610.982017,6817227.095,0,0,1,853.5714286,355,251,235,1,32,1021.0,1021,1021,85500000.0,85500000,85500000,DoS
80,98379069,7,311,305,0,44.42857143,114.9229556,4344,0,2319.0,2196.731436,121.0216779,0.121977166,8943551.727,29700000.0,98400000,1,98400000,16400000.0,40200000.0,98400000,1,6827,1706.75,2964.583993,6148,64,220,168,0.071153347,0.050823819,0,4344,915.8461538,1717.078859,2948359.808,0,0,1,992.1666667,311,274,235,2,20,1008.0,1008,1008,98400000.0,98400000,98400000,DoS
80,11321019,5,281,281,0,56.2,125.6670203,2077,0,705.0,990.6447396,336.1888183,0.883312712,1257891.0,2515393.227,6315257,2,6323449,1580862.25,3161303.177,6322817,2,11300000,2830242.75,3311172.022,6315257,48,168,168,0.441656356,0.441656356,0,2077,346.0,719.216101,517271.8,0,1,0,380.6,281,29200,235,1,32,696.0,696,696,6315257.0,6315257,6315257,DoS
80,166751,3,327,327,0,109.0,188.793538,7240,0,2319.0,3331.638186,71495.82311,47.97572428,23821.57143,56518.69676,151464,19,15017,7508.5,9211.480039,14022,995,166732,41683.0,73525.8793,151464,52,104,168,17.99089661,29.98482768,0,7240,1324.666667,2636.340029,6950288.75,0,1,0,1490.25,327,29200,235,1,32,0.0,0,0,0.0,0,0,DoS
80,83803112,6,326,326,0,54.33333333,133.0889427,4344,0,1932.5,1754.831473,142.2500873,0.143192773,7618464.727,25200000.0,83700000,2,83700000,16700000.0,37400000.0,83700000,2,112439,22487.8,41757.42956,96165,47,200,200,0.071596387,0.071596387,0,4344,917.0,1499.422778,2248268.667,0,0,1,993.4166667,326,251,235,1,32,4.0,4,4,83700000.0,83700000,83700000,DoS
80,116299428,8,320,314,0,40.0,110.7326252,4355,0,1932.5,2182.468304,102.4510628,0.120378924,8946109.846,27800000.0,100000000,1,116000000,16600000.0,37400000.0,100000000,1,1442,288.4,308.8515825,758,15,260,200,0.068787957,0.051590967,0,4355,794.3333333,1622.549302,2632666.238,0,0,1,851.0714286,320,251,235,2,20,7.0,7,7,58100000.0,100000000,16000000,DoS
80,98375900,9,345,345,0,38.33333333,115.0,5792,0,1932.5,2181.008184,121.3711895,0.152476369,7026850.0,26300000.0,98400000,1,98400000,12300000.0,34800000.0,98400000,1,5653,1130.6,2282.461785,5212,45,296,200,0.091485821,0.060990547,0,5792,746.25,1579.031792,2493341.4,0,0,1,796.0,345,274,235,1,32,991.0,991,991,98400000.0,98400000,98400000,DoS
80,3391,3,345,345,0,115.0,199.1858429,5792,0,1932.5,2365.476337,3521085.226,2654.084341,423.875,761.99577,2116,2,3137,1568.5,801.1519831,2135,1002,3372,674.4,1387.315862,3155,2,104,200,884.6947803,1769.389561,0,5792,1194.0,2006.86029,4027488.222,0,1,0,1326.666667,345,29200,235,1,32,0.0,0,0,0.0,0,0,DoS
