Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type
80,5121659,3,12,6,0,4.0,3.464101615,0,0,0.0,0.0,2.342990816,0.780996939,1707219.667,2883494.245,5036429,36,5121659,2560829.5,3501026.388,5036429,85230,0,0.0,0.0,0,0,72,32,0.585747704,0.195249235,0,6,2.4,3.286335345,10.8,0,1,0,3.0,12,8192,17922,2,20,0.0,0,0,0.0,0,0,Normal Traffic
53,128476,1,53,53,53,53.0,0.0,116,116,116.0,0.0,1315.420779,15.56710981,128476.0,0.0,128476,128476,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,40,7.783554905,7.783554905,53,116,74.0,36.37306696,1323.0,0,0,0,111.0,53,-1,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
53,23701,1,53,53,53,53.0,0.0,69,69,69.0,0.0,5147.462132,84.38462512,23701.0,0.0,23701,23701,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,42.19231256,42.19231256,53,69,58.33333333,9.237604307,85.33333333,0,0,0,87.5,53,-1,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
54549,4,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,40,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,453,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
53,252129,1,58,58,58,58.0,0.0,202,202,202.0,0.0,1031.218146,7.932447279,252129.0,0.0,252129,252129,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,3.966223639,3.966223639,58,202,106.0,83.13843876,6912.0,0,0,0,159.0,58,-1,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
8978,21,1,6,6,6,6.0,0.0,6,6,6.0,0.0,571428.5714,95238.09524,21.0,0.0,21,21,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,47619.04762,47619.04762,6,6,6.0,0.0,0.0,0,0,1,9.0,6,114,16245,0,20,0.0,0,0,0.0,0,0,Normal Traffic
443,4927973,3,31,31,0,10.33333333,17.89785834,0,0,0.0,0.0,6.290618881,0.811692759,1642657.667,2813219.479,4891014,49,4927973,2463986.5,3484533.829,4927924,49,0,0.0,0.0,0,0,96,32,0.608769569,0.20292319,0,31,6.2,13.86362146,192.2,0,0,1,7.75,31,403,398,1,32,0.0,0,0,0.0,0,0,Normal Traffic
53,256339,4,144,36,36,36.0,0.0,126,126,126.0,0.0,1544.829308,23.40650467,51267.8,98616.13728,226119,3,30217,10072.33333,17440.59693,30211,3,3,3.0,0.0,3,3,104,40,15.60433645,7.802168223,36,126,61.71428571,43.91550328,1928.571429,0,0,0,72.0,144,-1,-1,3,20,0.0,0,0,0.0,0,0,Normal Traffic
53,49024,4,140,35,35,35.0,0.0,222,222,222.0,0.0,11912.53264,122.3890339,9804.8,14170.07991,30998,3,31005,10335.0,17894.68293,30998,3,48,48.0,0.0,48,48,104,40,81.5926893,40.79634465,35,222,88.42857143,91.24665682,8325.952381,0,0,0,103.1666667,140,-1,-1,3,20,0.0,0,0,0.0,0,0,Normal Traffic
53,192,2,70,35,35,35.0,0.0,99,99,99.0,0.0,1395833.333,20833.33333,64.0,109.9863628,191,0,0,0.0,0.0,0,0,1,1.0,0.0,1,1,64,64,10416.66667,10416.66667,35,99,60.6,35.05424368,1228.8,0,0,0,75.75,70,-1,-1,1,32,0.0,0,0,0.0,0,0,Normal Traffic
443,62565286,19,1824,496,0,96.0,176.0230414,1460,2,426.5,552.2262821,138.2236149,0.559415648,1840155.471,3838394.487,10000000,7,62600000,3475849.222,4816167.04,10100000,1430,62500000,4164039.8,5030380.608,10100000,49,392,324,0.30368278,0.255732868,0,1460,240.2222222,418.8460413,175432.0063,0,1,0,247.0857143,1824,8192,33232,18,20,420619.3333,2001977,104252,9997149.5,10000000,9954132,Normal Traffic
53,30191,1,50,50,50,50.0,0.0,66,66,66.0,0.0,3842.204630519,66.2449074227,30191.0,0.0,30191,30191,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,33.1224537114,33.1224537114,50,66,55.3333333333,9.237604307,85.3333333333,0,0,0,83.0,50,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
57502,24541,31,65706,4380,6,2119.548387,1055.029062,6,6,6.0,0.0,2677641.498,1303.940345,791.6451613,3276.242243,18431,2,24541,818.0333333,3328.987238,18431,2,0,0.0,0.0,0,0,620,20,1263.192209,40.74813577,6,4380,2035.515152,1090.60832,1189426.508,0,0,1,2099.125,65706,62,0,30,20,0.0,0,0,0.0,0,0,Normal Traffic
