Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type
6689,29,1,2,2,2,2.0,0.0,6,6,6.0,0.0,275862.069,68965.51724,29.0,0.0,29,29,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,34482.75862,34482.75862,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
8500,79,1,0,0,0,0.0,0.0,6,6,6.0,0.0,75949.36709,25316.4557,79.0,0.0,79,79,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,12658.22785,12658.22785,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
5050,27,1,0,0,0,0.0,0.0,6,6,6.0,0.0,222222.2222,74074.07407,27.0,0.0,27,27,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,37037.03704,37037.03704,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
24444,23,1,0,0,0,0.0,0.0,6,6,6.0,0.0,260869.5652,86956.52174,23.0,0.0,23,23,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,43478.26087,43478.26087,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
2381,63,1,2,2,2,2.0,0.0,6,6,6.0,0.0,126984.127,31746.03175,63.0,0.0,63,63,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,15873.01587,15873.01587,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
3261,30,1,2,2,2,2.0,0.0,6,6,6.0,0.0,266666.6667,66666.66667,30.0,0.0,30,30,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,33333.33333,33333.33333,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
1108,52,1,0,0,0,0.0,0.0,6,6,6.0,0.0,115384.6154,38461.53846,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,19230.76923,19230.76923,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
1700,47,1,2,2,2,2.0,0.0,6,6,6.0,0.0,170212.766,42553.19149,47.0,0.0,47,47,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,21276.59574,21276.59574,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
801,77,1,2,2,2,2.0,0.0,6,6,6.0,0.0,103896.1039,25974.02597,77.0,0.0,77,77,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,12987.01299,12987.01299,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
9001,43,1,0,0,0,0.0,0.0,6,6,6.0,0.0,139534.8837,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,23255.81395,23255.81395,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
31038,30,1,2,2,2,2.0,0.0,6,6,6.0,0.0,266666.6667,66666.66667,30.0,0.0,30,30,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,33333.33333,33333.33333,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
1244,11,1,0,0,0,0.0,0.0,6,6,6.0,0.0,545454.5455,181818.1818,11.0,0.0,11,11,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,90909.09091,90909.09091,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
5280,50,1,0,0,0,0.0,0.0,6,6,6.0,0.0,120000.0,40000.0,50.0,0.0,50,50,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,20000.0,20000.0,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
1032,51,1,0,0,0,0.0,0.0,6,6,6.0,0.0,117647.0588,39215.68627,51.0,0.0,51,51,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,19607.84314,19607.84314,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
2601,61,1,0,0,0,0.0,0.0,6,6,6.0,0.0,98360.65574,32786.88525,61.0,0.0,61,61,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,16393.44262,16393.44262,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
1077,72,1,2,2,2,2.0,0.0,6,6,6.0,0.0,111111.1111,27777.77778,72.0,0.0,72,72,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,13888.88889,13888.88889,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
27352,53,1,2,2,2,2.0,0.0,6,6,6.0,0.0,150943.3962,37735.84906,53.0,0.0,53,53,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,18867.92453,18867.92453,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
554,103,1,0,0,0,0.0,0.0,6,6,6.0,0.0,58252.42718,19417.47573,103.0,0.0,103,103,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,9708.737864,9708.737864,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
41511,27,1,0,0,0,0.0,0.0,6,6,6.0,0.0,222222.2222,74074.07407,27.0,0.0,27,27,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,37037.03704,37037.03704,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
3914,12,1,2,2,2,2.0,0.0,6,6,6.0,0.0,666666.6667,166666.6667,12.0,0.0,12,12,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,83333.33333,83333.33333,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
1044,83,1,0,0,0,0.0,0.0,6,6,6.0,0.0,72289.15663,24096.38554,83.0,0.0,83,83,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,12048.19277,12048.19277,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
5960,52,1,2,2,2,2.0,0.0,6,6,6.0,0.0,153846.1538,38461.53846,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,19230.76923,19230.76923,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
407,85,1,2,2,2,2.0,0.0,6,6,6.0,0.0,94117.64706,23529.41176,85.0,0.0,85,85,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,11764.70588,11764.70588,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
593,61,1,0,0,0,0.0,0.0,6,6,6.0,0.0,98360.65574,32786.88525,61.0,0.0,61,61,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,16393.44262,16393.44262,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
1114,95,1,2,2,2,2.0,0.0,6,6,6.0,0.0,84210.52632,21052.63158,95.0,0.0,95,95,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,10526.31579,10526.31579,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
722,60,1,2,2,2,2.0,0.0,6,6,6.0,0.0,133333.3333,33333.33333,60.0,0.0,60,60,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,16666.66667,16666.66667,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
61900,11,1,0,0,0,0.0,0.0,6,6,6.0,0.0,545454.5455,181818.1818,11.0,0.0,11,11,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,90909.09091,90909.09091,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
2022,112,1,2,2,2,2.0,0.0,6,6,6.0,0.0,71428.57143,17857.14286,112.0,0.0,112,112,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,8928.571429,8928.571429,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
1700,86,1,2,2,2,2.0,0.0,6,6,6.0,0.0,93023.25581,23255.81395,86.0,0.0,86,86,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,11627.90698,11627.90698,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
13456,49,1,2,2,2,2.0,0.0,6,6,6.0,0.0,163265.3061,40816.32653,49.0,0.0,49,49,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,20408.16327,20408.16327,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
2492,69,1,0,0,0,0.0,0.0,6,6,6.0,0.0,86956.52174,28985.50725,69.0,0.0,69,69,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,14492.75362,14492.75362,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
8009,13,1,0,0,0,0.0,0.0,6,6,6.0,0.0,461538.4615,153846.1538,13.0,0.0,13,13,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,76923.07692,76923.07692,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
